item_number,appliance_type,model_id,omni_item_id,price,product_image_gcs_uri,stock_on_hand_across_stores,stock_at_each_store,total_stock_at_stores,total_stock_at_warehouse,average_sales_per_day_per_store,avg_sales_per_day_total,safety_stock_per_store,safe_stock_total,reorder_point_per_store,reorder_point_total,last_updated_date,is_current
RS65DG54R3S9,refrigerator,m-RS65DG54R3S9,RS65DG54R3S9-EF,1199,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RS65DG54R3S9.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
RS65DG54R3S9,refrigerator,m-RS65DG54R3S9,RS65DG54R3S9-EU,1199,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RS65DG54R3S9.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
RS66DG813CS9EU,refrigerator,m-RS66DG813CS9EU,RS66DG813CS9EU,1199,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RS66DG813CS9EU.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
LRSWS2806S,refrigerator,m-LRSWS2806S,LRSWS2806S,1554,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSWS2806S.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
LRSXC2306,refrigerator,m-LRSXC2306V,LRSXC2306S,1649,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXC2306.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
LRSXC2306,refrigerator,m-LRSXC2306V,LRSXC2306V,1649,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXC2306.jpg,600,40,120,480,7,21,10,30,59,177,2024-12-31,Y
LRSXS2706,refrigerator,m-LRSXS2706,LRSXS2706S,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXS2706.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
LRSXS2706,refrigerator,m-LRSXS2706,LRSXS2706W,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXS2706.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
LRSXS2706,refrigerator,m-LRSXS2706,LRSXS2706V,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXS2706.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
LRSXS2706,refrigerator,m-LRSXS2706,LRSXS2706B,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSXS2706.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
LRSOS2706,refrigerator,m-LRSOS2706,LRSOS2706D,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSOS2706.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
LRSOS2706,refrigerator,m-LRSOS2706,LRSOS2706S,1721,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRSOS2706.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
GRSS2652AF,refrigerator,m-GRSS2652AF,GRSS2652AF,1298,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/GRSS2652AF.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
GRSC2352AF,refrigerator,m-GRSC2352AF,GRSC2352AF,1298,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/GRSC2352AF.jpg,600,40,120,480,7,21,10,30,59,177,2024-12-31,Y
FRFN2813AF,refrigerator,m-FRFN2813AF,FRFN2813AF,1398,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FRFN2813AF.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
GRFN2023AF,refrigerator,m-GRFN2023AF,GRFN2023AF,1448,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/GRFN2023AF.jpg,600,40,120,480,7,21,10,30,59,177,2024-12-31,Y
LRYKC2606,refrigerator,m-LRYKC2606,LRYKC2606S,3099,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRYKC2606.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
LRYKC2606,refrigerator,m-LRYKC2606,LRYKC2606D,3099,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRYKC2606.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
RF70F29MER,refrigerator,m-RF70F29MER,m-RF70F29MER,2099,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RF70F29MER.jpg,600,40,120,480,6,18,9,27,51,153,2024-12-31,Y
WRMF3636RW,refrigerator,m-WRMF3636RW,m-WRMF3636RW,2099,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/WRMF3636RW.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
RT31CG5624S9,refrigerator,m-RT31CG5624S9,RT31CG5624S9,899,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RT31CG5624S9.jpg,600,40,120,480,7,21,10,30,59,177,2024-12-31,Y
RT53K65x3RSL-EF,refrigerator,m-RT53K65x3RSL-EF,RT53K65x3RSL-EF,1099,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RT53K65x3RSL-EF.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
RT45KSSW1,refrigerator,m-RT45KSSW1-EUR,RT45KSSW1-EUR,699,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RT45KSSW1.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
RT45KSSW1,refrigerator,m-RT45KSSW1-JUM,RT45KSSW1-JUM,699,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RT45KSSW1.jpg,600,40,120,480,6,18,9,27,51,153,2024-12-31,Y
FFHT2022AS,refrigerator,m-FFHT2022AS,FFHT2022AS,798,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FFHT2022AS.jpg,600,40,120,480,7,21,10,30,60,180,2024-12-31,Y
FFTR2045VS,refrigerator,m-FFTR2045VS,FFTR2045VS,728,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FFTR2045VS.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
LRDCS2603S,refrigerator,m-LRDCS2603S,LRDCS2603S,1699,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LRDCS2603S.jpg,600,40,120,480,8,24,12,36,68,204,2024-12-31,Y
LBNC15231V,refrigerator,m-LBNC15231V,LBNC15231V,1499,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/LBNC15231V.jpg,600,40,120,480,7,21,10,30,59,177,2024-12-31,Y
FPFU19F8WF,refrigerator,m-FPFU19F8WF,FPFU19F8WF,3298,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FPFU19F8WF.jpg,600,40,120,480,2,6,3,9,17,51,2024-12-31,Y
FPRU19F8WF,refrigerator,m-FPRU19F8WF,FPRU19F8WF,3298,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FPRU19F8WF.jpg,600,40,120,480,6,18,9,27,51,153,2024-12-31,Y
RZ32C76GE48-EU,refrigerator,m-RZ32C76GE48-EU,RZ32C76GE48-EU,899,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RZ32C76GE48-EU.jpg,600,40,120,480,9,27,14,42,77,231,2024-12-31,Y
RR39C7DJ5S9-EU,refrigerator,m-RR39C7DJ5S9-EU,RR39C7DJ5S9-EU,899,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RR39C7DJ5S9-EU.jpg,600,40,120,480,6,18,9,27,51,153,2024-12-31,Y
FFPE4533UM,refrigerator,m-FFPE4533UM,FFPE4533UM,238,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FFPE4533UM.jpg,600,40,120,480,3,9,4,12,25,75,2024-12-31,Y
RW33EBSS1,refrigerator,m-RW33EBSS1-XEO,RW33EBSS1-XEO,1619,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/RW33EBSS1.jpg,600,40,120,480,10,30,15,45,85,255,2024-12-31,Y
FRWW4543AS,refrigerator,m-FRWW4543AS,FRWW4543AS,498,gs://rscw-fridge-storage-606804615020/unstructured-data/fridge_images/FRWW4543AS.jpg,600,40,120,480,3,9,4,12,25,75,2024-12-31,Y
